year,IGCC_2023,GCOS_cor,Zanna19_cor,Gebbie19_cor,combined,stdev
1850,,,-192.7625152,-505.9474748,-349.354995,221.4552087
1851,,,-192.7625152,-505.7657624,-349.2641388,221.3267186
1852,,,-192.7625152,-505.5840499,-349.1732826,221.1982285
1853,,,-192.7625152,-505.4023374,-349.0824263,221.0697383
1854,,,-192.7625152,-505.2206249,-348.9915701,220.9412482
1855,,,-192.7625152,-505.0389125,-348.9007138,220.8127581
1856,,,-192.7625152,-498.1430303,-345.4527728,215.936633
1857,,,-192.7625152,-491.2471481,-342.0048317,211.060508
1858,,,-192.7625152,-484.351266,-338.5568906,206.184383
1859,,,-192.7625152,-477.4553838,-335.1089495,201.3082579
1860,,,-192.7625152,-470.5595016,-331.6610084,196.4321329
1861,,,-192.7625152,-462.5311297,-327.6468224,190.7552166
1862,,,-192.7625152,-454.5027577,-323.6326365,185.0783004
1863,,,-192.7625152,-446.4743857,-319.6184505,179.4013841
1864,,,-192.7625152,-438.4460138,-315.6042645,173.7244678
1865,,,-192.7625152,-430.4176418,-311.5900785,168.0475516
1866,,,-192.7625152,-416.7565161,-304.7595157,158.387677
1867,,,-192.7625152,-403.0953904,-297.9289528,148.7278024
1868,,,-192.7625152,-389.4342647,-291.09839,139.0679277
1869,,,-192.7625152,-375.773139,-284.2678271,129.4080531
1870,,,-192.7625152,-362.1120134,-277.4372643,119.7481785
1871,,,-191.4666416,-350.905699,-271.1861703,112.7404387
1872,,,-189.3259904,-339.6993846,-264.5126875,106.3300467
1873,,,-190.8352775,-328.4930702,-259.6641739,97.33875872
1874,,,-190.9352539,-317.2867559,-254.1110049,89.34400384
1875,,,-192.743657,-306.0804415,-249.4120493,80.14120885
1876,,,-188.8593327,-292.4399573,-240.649645,73.24256207
1877,,,-182.5580673,-278.7994731,-230.6787702,68.05295066
1878,,,-177.0609309,-265.1589889,-221.1099599,62.29473417
1879,,,-173.1835078,-251.5185047,-212.3510063,55.39120745
1880,,,-168.4269583,-237.8780205,-203.1524894,49.10931703
1881,,,-171.2513731,-234.1717241,-202.7115486,44.49140687
1882,,,-174.1737488,-230.4654278,-202.3195883,39.8042279
1883,,,-175.1969318,-226.7591314,-200.9780316,36.45998103
1884,,,-176.1649022,-223.0528351,-199.6088686,33.15477532
1885,,,-175.9792153,-219.3465387,-197.662877,30.66532847
1886,,,-174.527812,-225.6615764,-200.0946942,36.15703157
1887,,,-172.8740286,-231.976614,-202.4253213,41.7918389
1888,,,-172.4210138,-238.2916517,-205.3563327,46.57757475
1889,,,-173.4490206,-244.6066893,-209.027855,50.31607007
1890,,,-174.1642528,-250.9217269,-212.5429899,54.27573046
1891,,,-175.4642576,-245.954452,-210.7093548,49.84409449
1892,,,-177.1865993,-240.9871771,-209.0868882,45.11382115
1893,,,-178.6895228,-236.0199021,-207.3547124,40.53870001
1894,,,-175.6096131,-231.0526272,-203.3311201,39.20413125
1895,,,-171.1966892,-226.0853522,-198.6410207,38.81214584
1896,,,-167.1577922,-220.9799236,-194.0688579,38.05799404
1897,,,-164.2289055,-215.8744949,-190.0517002,36.5189465
1898,,,-158.2765644,-210.7690663,-184.5228153,37.11780403
1899,,,-155.8414198,-205.6636376,-180.7525287,35.22962807
1900,,,-159.1262851,-200.558209,-179.842247,29.29679435
1901,,,-164.9255506,-206.0137204,-185.4696355,29.05372348
1902,,,-174.1711788,-211.4692318,-192.8202053,26.37370614
1903,,,-185.7869631,-216.9247431,-201.3558531,22.01773543
1904,,,-196.1060943,-222.3802545,-209.2431744,18.57863689
1905,,,-204.4993284,-227.8357659,-216.1675472,16.50135322
1906,,,-212.3950616,-229.1259417,-220.7605016,11.83051883
1907,,,-216.9666722,-230.4161175,-223.6913949,9.510193997
1908,,,-222.0086365,-231.7062934,-226.8574649,6.857278952
1909,,,-229.0395462,-232.9964692,-231.0180077,2.797967059
1910,,,-235.3992116,-234.286645,-234.8429283,0.786703365
1911,,,-238.5379318,-236.6337169,-237.5858243,1.346483238
1912,,,-240.5282303,-238.9807888,-239.7545096,1.09420636
1913,,,-237.2546348,-241.3278607,-239.2912478,2.880205724
1914,,,-230.3344369,-243.6749327,-237.0046848,9.43315505
1915,,,-225.7528184,-246.0220046,-235.8874115,14.33247898
1916,,,-221.8906555,-243.8985098,-232.8945827,15.56190296
1917,,,-218.736025,-241.7750149,-230.25552,16.29102599
1918,,,-218.4766488,-239.6515201,-229.0640844,14.97289513
1919,,,-220.9866401,-237.5280253,-229.2573327,11.69652563
1920,,,-221.8393346,-235.4045305,-228.6219325,9.592042029
1921,,,-224.5315959,-245.7810235,-235.1563097,15.02561436
1922,,,-226.333335,-256.1575165,-241.2454257,21.08888094
1923,,,-229.7934565,-266.5340094,-248.1637329,25.97949416
1924,,,-229.4151207,-276.9105024,-253.1628116,33.58430646
1925,,,-225.1149985,-287.2869954,-256.2009969,43.96224064
1926,,,-219.4280768,-284.0543031,-251.7411899,45.69764288
1927,,,-215.0034536,-280.8216108,-247.9125322,46.5404653
1928,,,-209.8884578,-277.5889185,-243.7386882,47.87145481
1929,,,-205.5280472,-274.3562262,-239.9421367,48.66887211
1930,,,-202.8375202,-271.1235339,-236.980527,48.28550334
1931,,,-199.1299873,-259.3633944,-229.2466908,42.59145061
1932,,,-194.2968229,-247.6032548,-220.9500388,37.69333952
1933,,,-189.620963,-235.8431153,-212.7320391,32.68399734
1934,,,-186.1611733,-224.0829758,-205.1220745,26.81476365
1935,,,-180.1267996,-212.3228362,-196.2248179,22.76603581
1936,,,-170.432418,-193.7017389,-182.0670785,16.45389457
1937,,,-158.9835131,-175.0806416,-167.0320773,11.38238872
1938,,,-147.8564468,-156.4595442,-152.1579955,6.083308508
1939,,,-136.7234106,-137.8384469,-137.2809288,0.788449733
1940,,,-125.5680296,-119.2173496,-122.3926896,4.490608867
1941,,,-116.8242808,-100.6546013,-108.7394411,11.43369
1942,,,-105.1039527,-82.09185309,-93.59790288,16.27201166
1943,,,-88.20675681,-63.52910484,-75.86793082,17.44973506
1944,,,-74.56274734,-44.96635659,-59.76455196,20.9278086
1945,,,-71.54147156,-26.40360834,-48.97253995,31.91728918
1946,,,-70.32575787,-31.34051225,-50.83313506,27.56673155
1947,,,-72.17798235,-36.27741615,-54.22769925,25.38553381
1948,,,-78.38197064,-41.21432006,-59.79814535,26.28149776
1949,,,-81.39946623,-46.15122397,-63.7753451,24.92427112
1950,,,-74.13156664,-51.08812788,-62.60984726,16.2941718
1951,,,-63.10940197,-52.36621916,-57.73781056,7.596577416
1952,,,-54.53063396,-53.64431043,-54.08747219,0.626725375
1953,,,-50.48009277,-54.9224017,-52.70124724,3.14118677
1954,,,-48.42096922,-56.20049298,-52.3107311,5.500954004
1955,,,-46.920726,-57.47858425,-52.19965512,7.465533165
1956,,,-42.91365976,-52.63971912,-47.77668944,6.87736253
1957,,,-36.57196632,-47.80085399,-42.18641015,7.940022618
1958,,,-26.30983711,-42.96198886,-34.63591298,11.77484943
1959,,,-15.00122526,-38.12312373,-26.5621745,16.3496512
1960,,-9.25,-5.29480242,-33.2842586,-15.94302034,15.14760064
1961,,3.75,-1.3899384,-28.97512765,-8.871688684,17.59874812
1962,,14.75,-1.317533397,-24.66599671,-3.744510035,19.81975935
1963,,6.45,-5.916491641,-20.35686576,-6.607785801,13.41679651
1964,,-3.45,-9.243764478,-16.04773482,-9.580499764,6.305614451
1965,,-12.45,-11.73533629,-11.73860387,-11.97464672,0.411671258
1966,,1.85,-13.58607501,-8.7168192,-6.817631405,7.891342641
1967,,-7.25,-10.86495339,-5.695034531,-7.936662639,2.652478921
1968,,-29.35,-1.26188223,-2.673249861,-11.09504403,15.82499772
1969,,-16.75,2.777869511,0.348534808,-4.54119856,10.64267547
1970,,-17.45,2.949691928,3.370319477,-3.709996198,11.9010508
1971,1.540985823,1.15,6.233894721,3.137962938,2.524135855,2.311373609
1972,11.77562452,2.65,6.323991576,2.9056064,7.867745258,4.251700172
1973,4.258042909,10.65,1.7980828,2.673249861,4.649243565,4.001780713
1974,15.76150775,20.15,0.656480311,2.440893323,11.75531615,9.668046106
1975,11.99020804,34.35,4.972899783,2.208536784,12.91701012,14.57341581
1976,29.38713272,26.25,10.38848942,11.25274983,22.67543957,9.903273316
1977,28.53845182,42.85,18.14478086,20.29696288,27.81784986,11.19668913
1978,44.50792528,51.55,32.21409775,29.34117592,41.10484159,10.43280867
1979,60.28799377,36.95,48.18435076,38.38538897,50.73062017,10.78260503
1980,82.07973754,66.55,59.64775675,47.42960202,69.9777619,14.45542657
1981,91.15480707,62.05,64.88108544,69.12086668,78.25272889,13.22523068
1982,77.9049049,43.15,70.87023976,90.81213134,73.09118096,20.12824698
1983,65.00633235,37.45,71.84082176,112.503396,69.46886913,30.99894968
1984,59.52055723,51.75,71.66488736,134.1946607,72.69520328,37.51420331
1985,71.5002179,59.05,74.93516612,155.8859253,84.06195752,44.22510106
1986,82.42361373,69.35,84.08731885,161.9382143,93.77439572,42.17699502
1987,103.2607817,63.55,91.1744545,167.9905032,105.4162171,44.23855491
1988,117.1024239,71.35,100.7216709,174.0427922,116.2369558,43.19366307
1989,128.5442364,65.95,111.2338311,180.0950812,123.8186036,47.16705668
1990,133.3394915,66.25,117.5285551,186.1473701,128.3240666,49.37363413
1991,131.6276436,93.25,118.3219025,194.3672087,133.4703403,43.03324109
1992,139.1474439,87.35,121.1179778,202.5870472,138.0828928,48.38188604
1993,143.777981,100.15,124.634369,210.8068858,144.487533,47.46304354
1994,143.9063645,109.15,129.9565854,219.0267243,148.3087339,47.8582698
1995,152.4241718,100.35,140.5948032,227.2465629,154.2439802,52.97873225
1996,165.7949799,127.65,158.2666963,245.714345,171.5026635,50.35083779
1997,166.8331781,127.05,173.675273,264.1821272,177.5678224,57.93456111
1998,162.5255701,131.45,183.2005899,282.6499093,180.8128682,65.3533394
1999,159.585184,144.15,191.0488824,301.1176915,185.8453543,70.83617483
2000,174.3664909,139.05,198.6778206,319.5854736,196.7354612,78.36561907
2001,202.9922567,147.85,202.3042241,318.9725097,213.0172506,72.0834156
2002,223.1310101,181.05,208.8053399,318.3595457,229.6013193,59.63144059
2003,248.2857755,210.25,221.0110378,317.7465818,248.977491,48.3429723
2004,258.7489117,210.95,232.7480118,317.1336178,256.1797274,45.86265836
2005,274.0099919,219.85,240.828027,316.5206539,266.5381094,42.18626415
2006,282.0118181,229.85,245.1873906,318.2756258,273.2247451,39.56868972
2007,294.0908771,229.65,248.1051943,320.0305978,280.0097372,41.45548727
2008,305.0354178,240.05,252.1593706,321.7855698,288.1835323,39.76461611
2009,316.576074,254.75,256.4594546,323.5405418,297.4130364,37.32727812
2010,328.121172,257.75,260.6185369,325.2955137,304.6712611,39.01968327
2011,337.6431621,265.15,268.3458961,330.3161358,312.790253,38.9531819
2012,354.9305599,276.15,276.8259238,335.3367579,325.5173936,40.43273712
2013,368.3096401,300.65,285.4143396,340.3573799,338.55844,37.70314492
2014,383.8369585,316.65,295.3195062,345.378002,351.4763973,38.31302992
2015,394.9857702,334.65,306.8023991,350.398624,362.801389,36.88819208
2016,413.1270259,331.95,316.915207,355.4192461,373.9442551,42.26505944
2017,420.582341,353.55,324.9504055,360.4398681,383.4478828,40.18792097
2018,435.3109912,363.45,329.0965536,365.4604902,393.9900029,44.56375448
2019,448.7131883,362.8769231,344.5839652,370.4811122,404.0135942,46.00193424
2020,473.0177132,375.4545455,345.5849552,375.5017343,419.2657291,55.56846679
2021,492.4930823,388.0321678,365.3238101,380.5223564,435.2262635,58.04065566
2022,510.4670017,400.6097902,375.581238,385.5429784,448.8558353,62.46429735
2023,522.0649212,413.1874126,385.8499468,390.5636005,459.2992872,63.88976242
